Submission ID,Track,Keywords,Contributions,Languages
2812,Machine Learning for NLP,model compression methods,"approaches for low-compute settings, efficiency",
2823,Question Answering,reasoning,nlp engineering experiment,
2824,Information Extraction,event extraction,nlp engineering experiment,
2826,Information Extraction,named entity recognition and relation extraction|event extraction,nlp engineering experiment,
2827,Interpretability and Analysis of Models for NLP,adversarial attacks/examples/training,nlp engineering experiment,
2830,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",applications,nlp engineering experiment,
2832,Information Extraction,named entity recognition and relation extraction,nlp engineering experiment|approaches for low-resource settings,
2835,Machine Translation,speech translation,nlp engineering experiment,
2841,Information Extraction,named entity recognition and relation extraction|zero/few-shot extraction,nlp engineering experiment|approaches for low-resource settings,
2842,Dialogue and Interactive Systems,dialogue state tracking,nlp engineering experiment,
2843,Interpretability and Analysis of Models for NLP,adversarial attacks/examples/training|robustness,model analysis & interpretability,
2848,Machine Translation,efficient mt training,nlp engineering experiment,
2852,Dialogue and Interactive Systems,,nlp engineering experiment,
2855,Machine Translation,multimodality,publicly available software and pre-trained models|data resources,
2859,Machine Translation,few-shot/zero-shot mt,nlp engineering experiment|model analysis & interpretability|approaches for low-resource settings,
2860,Dialogue and Interactive Systems,multi-modal dialogue systems,data resources,
2862,Information Retrieval and Text Mining,re-ranking,nlp engineering experiment,
2863,Question Answering,logical reasoning|knowledge base qa|generalization,nlp engineering experiment,
2865,NLP Applications,"healthcare applications, clincial nlp",nlp engineering experiment,
2866,Interpretability and Analysis of Models for NLP,adversarial attacks/examples/training,nlp engineering experiment,
2868,NLP Applications,financial/business nlp|knowledge graphs,"nlp engineering experiment|model analysis & interpretability|approaches for low-compute settings, efficiency|publicly available software and pre-trained models|data resources",
2870,Summarization,abstractive summarisation,nlp engineering experiment,
2873,Machine Translation,interactive mt,nlp engineering experiment,
2874,NLP Applications,"healthcare applications, clincial nlp",model analysis & interpretability,
2876,Theme Track: Reality Check,evaluation|ai hype & expectations,data analysis,german|japanese|ukrainian
2877,Large Language Models,fine-tuning,nlp engineering experiment,
2879,Dialogue and Interactive Systems,task-oriented,nlp engineering experiment,
2884,NLP Applications,knowledge graphs,nlp engineering experiment,
2885,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",applications,data resources,
2887,Machine Learning for NLP,multi-task learning|data augmentation|model compression methods,"approaches for low-compute settings, efficiency|approaches for low-resource settings",
2891,"Linguistic Theories, Cognitive Modeling, and Psycholinguistics",cognitive modeling,nlp engineering experiment,
2893,Machine Translation,speech translation,nlp engineering experiment|data resources,japanese
2901,NLP Applications,knowledge graphs,nlp engineering experiment|theory,
2907,"Language Grounding to Vision, Robotics, and Beyond",cross-modal application,nlp engineering experiment|model analysis & interpretability,
2909,Large Language Models,fine-tuning,"approaches for low-compute settings, efficiency",
2910,Theme Track: Reality Check,right for the wrong reasons,surveys,
2912,Dialogue and Interactive Systems,spoken dialogue systems,nlp engineering experiment,
2915,NLP Applications,knowledge graphs,nlp engineering experiment,
2920,Machine Learning for NLP,self-supervised learning,nlp engineering experiment,
2923,Information Retrieval and Text Mining,passage retrieval,nlp engineering experiment,
2928,Dialogue and Interactive Systems,applications,nlp engineering experiment,chinese
2930,Machine Learning for NLP,data augmentation,nlp engineering experiment,
2934,Ethics and NLP,model bias/unfairness mitigation|ethical considerations in nlp applications,nlp engineering experiment,
2936,Information Extraction,named entity recognition and relation extraction|zero/few-shot extraction,nlp engineering experiment|approaches for low-resource settings,
2939,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",argument mining,nlp engineering experiment,
2942,Discourse and Pragmatics,anaphora resolution,model analysis & interpretability,
2943,"Phonology, Morphology, and Word Segmentation",phonology,nlp engineering experiment,romance languages|chinese
2944,Large Language Models,pre-training,"approaches for low-compute settings, efficiency",
2946,Resources and Evaluation,corpus creation|automatic creation and evaluation of language resources|nlp datasets,model analysis & interpretability|data resources,
2952,Multilingualism and Cross-Lingual NLP,cross-lingual transfer,publicly available software and pre-trained models,
2953,"Semantics: Sentence-level Semantics, Textual Inference, and Other Areas",reasoning,nlp engineering experiment|approaches for low-resource settings|data resources,
2957,Large Language Models,prompting|applications,nlp engineering experiment|approaches for low-resource settings,
2961,NLP Applications,"healthcare applications, clincial nlp",approaches for low-resource settings,
2962,Large Language Models,prompting|fine-tuning,nlp engineering experiment|approaches for low-resource settings|data resources,
2966,Information Retrieval and Text Mining,dense retrieval,nlp engineering experiment|model analysis & interpretability|approaches for low-resource settings,
2970,Question Answering,semantic parsing,approaches for low-resource settings,
2971,Speech and Multimodality,speech and vision|multimodality,nlp engineering experiment,
2984,Question Answering,reading comprehension,nlp engineering experiment,
2985,Machine Translation,automatic evaluation,model analysis & interpretability,
2987,Summarization,multimodal summarization,nlp engineering experiment,
2991,Resources and Evaluation,automatic creation and evaluation of language resources,approaches for low-resource settings,
2992,Summarization,multimodal summarization,data resources,
2993,"Syntax: Tagging, Chunking, and Parsing",multi-task approaches (large definition),nlp engineering experiment,chinese
3000,Interpretability and Analysis of Models for NLP,data influence|data shortcuts/artifacts|hardness of samples,"approaches for low-compute settings, efficiency|data resources|data analysis",
3004,Machine Learning for NLP,reinforcement learning,nlp engineering experiment,
3005,Speech and Multimodality,speech and vision,nlp engineering experiment,mandarin
3011,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",rhetoric and framing,nlp engineering experiment,
3014,Question Answering,generalization,data resources,
3017,Machine Translation,speech translation,nlp engineering experiment|approaches for low-resource settings,
3022,Generation,text-to-text generation,nlp engineering experiment,
3024,Information Extraction,named entity recognition and relation extraction,nlp engineering experiment|approaches for low-resource settings,
3032,Information Extraction,named entity recognition and relation extraction|event extraction,nlp engineering experiment|theory,
3035,Interpretability and Analysis of Models for NLP,hierarchical & concept explanations,model analysis & interpretability,
3040,"Language Grounding to Vision, Robotics, and Beyond",cross-modal application,nlp engineering experiment,
3042,Large Language Models,fine-tuning,approaches for low-resource settings,
3043,Machine Translation,multimodality,model analysis & interpretability,
3047,Multilingualism and Cross-Lingual NLP,cross-lingual transfer|mutlilingual representations,model analysis & interpretability,
3052,Large Language Models,retrieval-augmented models|interpretability/analysis,model analysis & interpretability|reproduction study,
3057,Dialogue and Interactive Systems,applications,nlp engineering experiment|publicly available software and pre-trained models|data analysis,
3058,Dialogue and Interactive Systems,knowledge augmented|grounded dialog,nlp engineering experiment,
3059,Resources and Evaluation,evaluation methodologies|evaluation|statistical testing for evaluation,theory,
3061,NLP Applications,"educational applications, gec, essay scoring",nlp engineering experiment,
3062,Interpretability and Analysis of Models for NLP,explanation faithfulness|feature attribution,model analysis & interpretability,
3065,"Language Grounding to Vision, Robotics, and Beyond",image text matching,nlp engineering experiment|model analysis & interpretability,
3066,Information Retrieval and Text Mining,re-ranking,nlp engineering experiment|approaches for low-resource settings,
3069,Machine Translation,speech translation,approaches for low-resource settings,
3071,"Linguistic Theories, Cognitive Modeling, and Psycholinguistics",computational psycholinguistics,model analysis & interpretability,
3072,Question Answering,generalization,nlp engineering experiment,
3074,"Linguistic Theories, Cognitive Modeling, and Psycholinguistics",linguistic theories,model analysis & interpretability,
3081,Machine Learning for NLP,representation learning,nlp engineering experiment|model analysis & interpretability|publicly available software and pre-trained models,
3082,Generation,analysis,nlp engineering experiment,
3085,Resources and Evaluation,reproducibility,reproduction study,
3087,Generation,few-shot generation|text-to-text generation|interactive and collaborative generation,nlp engineering experiment|data resources,
3091,"Syntax: Tagging, Chunking, and Parsing",dependency parsing,nlp engineering experiment|model analysis & interpretability,
3093,Generation,model architectures,theory,
3101,Machine Translation,automatic evaluation|biases,model analysis & interpretability,
3103,Dialogue and Interactive Systems,bias/toxicity,nlp engineering experiment,
3107,Resources and Evaluation,nlp datasets|evaluation|metrics,data resources|data analysis,
3109,"Language Grounding to Vision, Robotics, and Beyond",cross-modal pretraining,nlp engineering experiment,
3114,NLP Applications,knowledge graphs,"nlp engineering experiment|approaches for low-compute settings, efficiency|data analysis",
3115,Resources and Evaluation,automatic evaluation of datasets,nlp engineering experiment,
3116,NLP Applications,legal nlp,publicly available software and pre-trained models|data resources|data analysis,
3117,Generation,text-to-text generation,nlp engineering experiment,
3121,Multilingualism and Cross-Lingual NLP,mutlilingual representations,nlp engineering experiment,
3124,Speech and Multimodality,spoken language understanding|multimodality,nlp engineering experiment,
3125,Machine Learning for NLP,model compression methods,"nlp engineering experiment|approaches for low-compute settings, efficiency",
3126,Dialogue and Interactive Systems,multilingual / low resource,data resources,
3129,Machine Learning for NLP,graph-based methods|representation learning|graphical models,position papers,
3135,Machine Translation,efficient mt training,model analysis & interpretability,
3138,Information Extraction,named entity recognition and relation extraction,nlp engineering experiment,
3145,Resources and Evaluation,nlp datasets,data resources,
3147,Information Extraction,named entity recognition and relation extraction|event extraction,nlp engineering experiment,
3150,Ethics and NLP,model bias/unfairness mitigation,nlp engineering experiment,
3152,Machine Translation,few-shot/zero-shot mt|modelling,nlp engineering experiment|model analysis & interpretability|approaches for low-resource settings|publicly available software and pre-trained models,german|polish|french
3153,Information Retrieval and Text Mining,passage retrieval|document representation,nlp engineering experiment|model analysis & interpretability,
3155,Ethics and NLP,human factors in nlp,nlp engineering experiment,
3160,Machine Translation,modelling,nlp engineering experiment,
3161,Theme Track: Reality Check,(non-)reproducibility|evaluation|methodology,data resources|data analysis|position papers|surveys,
3165,Dialogue and Interactive Systems,task-oriented|multilingual / low resource,nlp engineering experiment|data resources,
3167,Information Extraction,named entity recognition and relation extraction,nlp engineering experiment|data resources|data analysis,
3168,Semantics: Lexical,polysemy,publicly available software and pre-trained models,chinese
3174,Machine Translation,speech translation,theory,
3175,"Linguistic Theories, Cognitive Modeling, and Psycholinguistics",linguistic theories|computational psycholinguistics,model analysis & interpretability,spanish|galician
3178,Generation,text-to-text generation,nlp engineering experiment,chinese
3179,Resources and Evaluation,corpus creation|language resources|nlp datasets|evaluation,model analysis & interpretability|data resources|data analysis,
3180,Theme Track: Reality Check,lessons from deployment|evaluation|forgotten lessons,surveys,
3183,Large Language Models,retrieval-augmented models,model analysis & interpretability|approaches for low-resource settings,
3184,Resources and Evaluation,language resources,data resources,french|german|italian|spanish
3187,Question Answering,open-domain qa,model analysis & interpretability|reproduction study,
3188,Theme Track: Reality Check,lessons from deployment|evaluation,nlp engineering experiment|model analysis & interpretability|reproduction study,
3190,Dialogue and Interactive Systems,evaluation and metrics|conversational modeling,nlp engineering experiment|publicly available software and pre-trained models,
3191,Information Extraction,event extraction|document-level extraction,nlp engineering experiment,
3193,Machine Learning for NLP,graph-based methods,nlp engineering experiment,
3197,"Semantics: Sentence-level Semantics, Textual Inference, and Other Areas",reasoning,nlp engineering experiment|approaches for low-resource settings,
3198,Generation,data-to-text generation,nlp engineering experiment,
3203,Theme Track: Reality Check,(non-)generalizability|evaluation,model analysis & interpretability|data resources,german|italian|french|farsi|danish
3205,Resources and Evaluation,corpus creation|benchmarking|language resources|multilingual corpora|datasets for low resource languages,approaches for low-resource settings|publicly available software and pre-trained models|data resources,assamese|bodo|bengali|dogri|konkani|gujarati|hindi|khasi|kannada|kashmiri|maithili|malayalam|manipuri|marathi|nepali|odia|punjabi|sanskrit|santhali|sindhi|tamil|telugu|urdu
3209,Resources and Evaluation,evaluation methodologies,nlp engineering experiment,
3216,Question Answering,few-shot qa,nlp engineering experiment,
3221,NLP Applications,"educational applications, gec, essay scoring|mathematical nlp",nlp engineering experiment,
3225,Theme Track: Reality Check,evaluation,publicly available software and pre-trained models|position papers,
3227,Theme Track: Reality Check,(non-)generalizability|evaluation,model analysis & interpretability|approaches for low-resource settings|reproduction study,
3228,Generation,model architectures,nlp engineering experiment,
3229,Large Language Models,prompting|fine-tuning,"nlp engineering experiment|approaches for low-compute settings, efficiency|approaches for low-resource settings",
3231,"Syntax: Tagging, Chunking, and Parsing",semantic parsing,nlp engineering experiment,
3234,Summarization,abstractive summarisation|multi-document summarization,nlp engineering experiment|approaches for low-resource settings,
3241,Machine Translation,domain adaptation,nlp engineering experiment,
3242,NLP Applications,"educational applications, gec, essay scoring",nlp engineering experiment,
3243,Information Extraction,entity linking/disambiguation,nlp engineering experiment,
3245,NLP Applications,,data resources,
3246,Speech and Multimodality,speech technologies,nlp engineering experiment,
3250,Information Extraction,named entity recognition and relation extraction,nlp engineering experiment,
3259,Large Language Models,prompting,nlp engineering experiment,
3267,Machine Learning for NLP,model compression methods,"nlp engineering experiment|approaches for low-compute settings, efficiency",
3272,NLP Applications,security/privacy,nlp engineering experiment,
3273,NLP Applications,,nlp engineering experiment,spanish|french|german|italian|dutch|portuguese|romanian
3275,Dialogue and Interactive Systems,conversational modeling,nlp engineering experiment,
3281,Machine Learning for NLP,generalization|parameter-efficient finetuning,nlp engineering experiment|approaches for low-resource settings,
3287,Machine Learning for NLP,human-in-the-loop / active learning,nlp engineering experiment|approaches for low-resource settings,
3288,Interpretability and Analysis of Models for NLP,robustness,"nlp engineering experiment|model analysis & interpretability|approaches for low-compute settings, efficiency|theory",
3291,Speech and Multimodality,automatic speech recognition,nlp engineering experiment|approaches for low-resource settings,gronings|west-frisian|besemah|nasal
3294,Large Language Models,robustness|fine-tuning,nlp engineering experiment,
3301,"Language Grounding to Vision, Robotics, and Beyond",cross-modal pretraining,nlp engineering experiment,
3302,Question Answering,commonsense qa,data resources,
3304,Speech and Multimodality,multimodality,model analysis & interpretability|data resources,
3308,Discourse and Pragmatics,coherence,nlp engineering experiment|data resources|data analysis,
3309,Large Language Models,prompting|scaling|ethics|security and privacy|applications,"nlp engineering experiment|approaches for low-compute settings, efficiency",
3313,Summarization,abstractive summarisation,publicly available software and pre-trained models,german
3320,Information Extraction,named entity recognition and relation extraction,nlp engineering experiment|approaches for low-resource settings|publicly available software and pre-trained models,
3322,Ethics and NLP,transparency|policy and governance|reflections and critiques,position papers,
3324,Machine Learning for NLP,parameter-efficient finetuning,"approaches for low-compute settings, efficiency",
3325,Generation,text-to-text generation,nlp engineering experiment,
3326,NLP Applications,"fact checking, rumour/misinformation detection",data resources,
3327,Computational Social Science and Cultural Analytics,stance detection,nlp engineering experiment,
3329,Multilingualism and Cross-Lingual NLP,multilingual pre-training,publicly available software and pre-trained models,
3332,Interpretability and Analysis of Models for NLP,free-text/natural language explanations,nlp engineering experiment|model analysis & interpretability,
3333,NLP Applications,hate speech detection,nlp engineering experiment|data resources,
3334,Computational Social Science and Cultural Analytics,hate-speech detection,data resources,
3340,Machine Learning for NLP,data augmentation,nlp engineering experiment|model analysis & interpretability|approaches for low-resource settings|publicly available software and pre-trained models,basque
3342,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",applications,nlp engineering experiment|approaches for low-resource settings|publicly available software and pre-trained models,
3343,"Syntax: Tagging, Chunking, and Parsing","constituency parsing|parsing algorighms (symbolic, theoritical results)",theory,
3344,Information Extraction,named entity recognition and relation extraction,nlp engineering experiment,
3353,Question Answering,table qa,nlp engineering experiment,
3356,Large Language Models,scaling,"nlp engineering experiment|model analysis & interpretability|approaches for low-compute settings, efficiency|approaches for low-resource settings|publicly available software and pre-trained models",basque|spanish|swahili|finnish
3357,Resources and Evaluation,benchmarking|multilingual corpora|nlp datasets|datasets for low resource languages,approaches for low-resource settings|publicly available software and pre-trained models|data resources,assamese|bodo|bengali|dogri|konkani|gujarati|hindi|khasi|kannada|kashmiri|maithili|malayalam|manipuri|marathi|nepali|odia|punjabi|sanskrit|santhali|sindhi|tamil|telugu|urdu|indian
3361,Computational Social Science and Cultural Analytics,emotion detection and analysis,approaches for low-resource settings,
3367,Summarization,extractive summarisation,nlp engineering experiment,
3371,Resources and Evaluation,corpus creation|language resources|nlp datasets|datasets for low resource languages,data resources,hebrew
3374,Machine Learning for NLP,generalization,nlp engineering experiment,
3377,Generation,analysis,nlp engineering experiment,
3378,Machine Learning for NLP,model compression methods,"approaches for low-compute settings, efficiency",
3380,Information Extraction,named entity recognition and relation extraction,approaches for low-resource settings,
3382,"Phonology, Morphology, and Word Segmentation",morphological inflection|morphological analysis|phonology,model analysis & interpretability|approaches for low-resource settings|theory,arabic
3384,Information Extraction,named entity recognition and relation extraction,nlp engineering experiment,
3388,NLP Applications,code generation and understanding,data resources,
3389,Resources and Evaluation,evaluation,reproduction study,
3390,Ethics and NLP,model bias/unfairness mitigation,"approaches for low-compute settings, efficiency|surveys",
3391,Speech and Multimodality,speech and vision|multimodality,nlp engineering experiment,
3397,Question Answering,multimodal qa,model analysis & interpretability,
3398,Question Answering,knowledge base qa,nlp engineering experiment,
3400,Interpretability and Analysis of Models for NLP,probing,model analysis & interpretability,
3403,Computational Social Science and Cultural Analytics,nlp tools for social analysis,nlp engineering experiment|model analysis & interpretability|data resources,
3410,Interpretability and Analysis of Models for NLP,probing,model analysis & interpretability,
3412,Speech and Multimodality,multimodality,nlp engineering experiment|approaches for low-resource settings,
3413,"Phonology, Morphology, and Word Segmentation",morphological inflection,approaches for low-resource settings,arabic
3417,Machine Learning for NLP,parameter-efficient finetuning,approaches for low-resource settings,
3418,Question Answering,commonsense qa|reasoning,nlp engineering experiment|model analysis & interpretability,
3420,Computational Social Science and Cultural Analytics,nlp tools for social analysis,nlp engineering experiment|data resources,
3421,"Language Grounding to Vision, Robotics, and Beyond",cross-modal content generation,nlp engineering experiment|publicly available software and pre-trained models,
3422,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",applications,nlp engineering experiment|model analysis & interpretability,
3426,Large Language Models,security and privacy,nlp engineering experiment,
3430,Information Extraction,named entity recognition and relation extraction,nlp engineering experiment,
3432,Discourse and Pragmatics,dialogue|conversation|communication,nlp engineering experiment,
3434,Semantics: Lexical,sentiment analysis,nlp engineering experiment,
3438,Resources and Evaluation,automatic creation and evaluation of language resources,nlp engineering experiment|approaches for low-resource settings,
3441,Computational Social Science and Cultural Analytics,hate-speech detection,data analysis,
3443,NLP Applications,knowledge graphs,approaches for low-resource settings,
3446,Resources and Evaluation,evaluation,nlp engineering experiment,
3447,Information Extraction,document-level extraction,nlp engineering experiment|approaches for low-resource settings,
3448,Discourse and Pragmatics,coreference resolution,nlp engineering experiment,
3453,Resources and Evaluation,corpus creation|benchmarking,nlp engineering experiment|publicly available software and pre-trained models|data resources|data analysis,
3454,"Syntax: Tagging, Chunking, and Parsing",constituency parsing,nlp engineering experiment|model analysis & interpretability|approaches for low-resource settings,
3455,Interpretability and Analysis of Models for NLP,feature attribution,nlp engineering experiment|model analysis & interpretability,
3457,Machine Learning for NLP,representation learning,nlp engineering experiment,
3458,Generation,automatic evaluation,nlp engineering experiment,
3463,Machine Translation,automatic evaluation,nlp engineering experiment,
3467,"Language Grounding to Vision, Robotics, and Beyond",vision language navigation,nlp engineering experiment,
3468,Information Extraction,knowledge base construction,nlp engineering experiment|data resources|data analysis,
3469,"Language Grounding to Vision, Robotics, and Beyond",cross-modal content generation,model analysis & interpretability|data resources,
3472,Theme Track: Reality Check,evaluation,nlp engineering experiment,
3473,Dialogue and Interactive Systems,applications,approaches for low-resource settings,
3475,Large Language Models,security and privacy,"nlp engineering experiment|approaches for low-compute settings, efficiency",
3482,"Syntax: Tagging, Chunking, and Parsing",semantic parsing,approaches for low-resource settings,
3483,Ethics and NLP,ethical considerations in nlp applications,nlp engineering experiment|model analysis & interpretability,
3484,Theme Track: Reality Check,right for the wrong reasons|(non-)generalizability|evaluation|ai hype & expectations,model analysis & interpretability|publicly available software and pre-trained models|data resources,
3486,NLP Applications,"healthcare applications, clincial nlp",nlp engineering experiment|data resources,
3487,NLP Applications,"healthcare applications, clincial nlp",nlp engineering experiment|publicly available software and pre-trained models|data resources,chinese
3490,Resources and Evaluation,benchmarking|nlp datasets,data resources,
3493,Computational Social Science and Cultural Analytics,language/cultural bias analysis,data analysis,
3495,Resources and Evaluation,benchmarking|nlp datasets|evaluation|metrics,data resources|data analysis,
3497,Information Extraction,event extraction|document-level extraction,nlp engineering experiment|model analysis & interpretability|publicly available software and pre-trained models,
3504,"Syntax: Tagging, Chunking, and Parsing",semantic parsing,nlp engineering experiment,
3506,Question Answering,semantic parsing,approaches for low-resource settings,
3512,Interpretability and Analysis of Models for NLP,feature attribution,model analysis & interpretability,
3517,Generation,data-to-text generation,nlp engineering experiment|model analysis & interpretability,
3518,Question Answering,table qa|open-domain qa,nlp engineering experiment|publicly available software and pre-trained models,
3519,"Syntax: Tagging, Chunking, and Parsing",part-of-speech tagging,nlp engineering experiment|position papers,
3523,Semantics: Lexical,interpretability,model analysis & interpretability,
3524,Resources and Evaluation,corpus creation|language resources|nlp datasets,data resources,
3526,Dialogue and Interactive Systems,,nlp engineering experiment,chinese
3530,Dialogue and Interactive Systems,multi-modal dialogue systems,data resources,
3533,Multilingualism and Cross-Lingual NLP,mixed language,data resources,indonesian|malay|singlish
3536,Generation,efficient models,nlp engineering experiment,
3537,Question Answering,table qa,nlp engineering experiment|publicly available software and pre-trained models,
3539,NLP Applications,mathematical nlp,nlp engineering experiment,
3540,Question Answering,logical reasoning|reasoning|math qa,publicly available software and pre-trained models|data analysis,
3541,Information Extraction,knowledge base construction,nlp engineering experiment,
3542,Machine Learning for NLP,graph-based methods|word embeddings,nlp engineering experiment|approaches for low-resource settings,
3546,Resources and Evaluation,nlp datasets,data resources,
3547,NLP Applications,legal nlp,nlp engineering experiment,
3548,Large Language Models,retrieval-augmented models,nlp engineering experiment,
3549,Information Retrieval and Text Mining,passage retrieval|dense retrieval,nlp engineering experiment,
3557,Theme Track: Reality Check,evaluation,position papers|surveys,
3561,Machine Learning for NLP,transfer learning / domain adaptation,nlp engineering experiment,
3562,Question Answering,logical reasoning,nlp engineering experiment,
3563,Interpretability and Analysis of Models for NLP,probing,model analysis & interpretability,
3568,"Syntax: Tagging, Chunking, and Parsing",dependency parsing,nlp engineering experiment|model analysis & interpretability,
3571,Dialogue and Interactive Systems,task-oriented|dialogue state tracking,nlp engineering experiment|position papers,
3572,Machine Translation,few-shot/zero-shot mt|scaling,data analysis,
3576,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",argument mining|applications,nlp engineering experiment|approaches for low-resource settings,
3578,Interpretability and Analysis of Models for NLP,probing,model analysis & interpretability|data resources,spanish|french|portuguese|italian
3579,Computational Social Science and Cultural Analytics,emotion detection and analysis,nlp engineering experiment|approaches for low-resource settings,
3590,Discourse and Pragmatics,coherence,model analysis & interpretability,
3593,Question Answering,table qa,model analysis & interpretability,
3596,Multilingualism and Cross-Lingual NLP,code-switching,nlp engineering experiment|approaches for low-resource settings,
3601,Resources and Evaluation,corpus creation|benchmarking|automatic creation and evaluation of language resources|nlp datasets,data resources|data analysis,korean
3607,Computational Social Science and Cultural Analytics,nlp tools for social analysis|quantiative analyses of news and/or social media,publicly available software and pre-trained models|data resources|data analysis|theory,
3608,Theme Track: Reality Check,(non-)generalizability|evaluation|ai hype & expectations|lessons from other fields,position papers,
3612,Summarization,evaluation,nlp engineering experiment,
3614,"Syntax: Tagging, Chunking, and Parsing",dependency parsing,nlp engineering experiment,
3615,Resources and Evaluation,nlp datasets,data resources,
3616,"Language Grounding to Vision, Robotics, and Beyond",vision language navigation,nlp engineering experiment|model analysis & interpretability,
3622,Theme Track: Reality Check,evaluation|forgotten lessons,data analysis,
3625,NLP Applications,financial/business nlp,nlp engineering experiment|model analysis & interpretability|data resources,
3626,Dialogue and Interactive Systems,applications,nlp engineering experiment,
3627,Machine Learning for NLP,adversarial training,nlp engineering experiment,
3629,Ethics and NLP,model bias/unfairness mitigation,nlp engineering experiment,
3630,Resources and Evaluation,multilingual corpora|nlp datasets,nlp engineering experiment|data resources,french|german|italian|spanish
3633,"Semantics: Sentence-level Semantics, Textual Inference, and Other Areas",phrase/sentence embedding,nlp engineering experiment,
3636,Interpretability and Analysis of Models for NLP,explanation faithfulness|feature attribution,nlp engineering experiment|model analysis & interpretability,
3637,Theme Track: Reality Check,methodology,position papers,
3638,Dialogue and Interactive Systems,grounded dialog,nlp engineering experiment|data resources|data analysis,
3642,Dialogue and Interactive Systems,applications,nlp engineering experiment,
3649,Dialogue and Interactive Systems,knowledge augmented|applications|grounded dialog,nlp engineering experiment,
3654,NLP Applications,knowledge graphs,"nlp engineering experiment|approaches for low-compute settings, efficiency",
3655,Large Language Models,robustness,nlp engineering experiment|model analysis & interpretability,
3656,Generation,automatic evaluation,nlp engineering experiment,
3659,"Language Grounding to Vision, Robotics, and Beyond",cross-modal content generation,"approaches for low-compute settings, efficiency",
3664,Summarization,factuality,nlp engineering experiment,
3667,Multilingualism and Cross-Lingual NLP,mutlilingual representations,model analysis & interpretability,
3672,NLP Applications,financial/business nlp,publicly available software and pre-trained models,danish|french|german
3673,Machine Translation,automatic evaluation,nlp engineering experiment|approaches for low-resource settings|publicly available software and pre-trained models,marathi|nepali|sinhala|german|russian|romanian|estonian
3680,NLP Applications,"educational applications, gec, essay scoring",nlp engineering experiment,
3682,Multilingualism and Cross-Lingual NLP,multilingual benchmarks|multilingual evaluation,nlp engineering experiment|data resources|data analysis,hindi|indonesian|yoruba|kannada|sundanese|swahili|javanese
3684,Large Language Models,pre-training,"approaches for low-compute settings, efficiency",
3686,Machine Learning for NLP,transfer learning / domain adaptation,"nlp engineering experiment|approaches for low-compute settings, efficiency|approaches for low-resource settings|publicly available software and pre-trained models",
3687,Ethics and NLP,model bias/fairness evaluation|ethical considerations in nlp applications,model analysis & interpretability|reproduction study,
3693,Theme Track: Reality Check,(non-)generalizability|evaluation|methodology,model analysis & interpretability|data analysis|position papers,arabic|german|spanish|swahili|turkish
3698,Question Answering,math qa|table qa,nlp engineering experiment|model analysis & interpretability|publicly available software and pre-trained models,
3699,Summarization,abstractive summarisation|factuality,nlp engineering experiment,
3701,"Semantics: Sentence-level Semantics, Textual Inference, and Other Areas",phrase/sentence embedding,"nlp engineering experiment|model analysis & interpretability|approaches for low-compute settings, efficiency|publicly available software and pre-trained models",
3704,Information Extraction,named entity recognition and relation extraction,nlp engineering experiment,
3705,"Semantics: Sentence-level Semantics, Textual Inference, and Other Areas",phrase/sentence embedding|word/phrase alignment,"nlp engineering experiment|model analysis & interpretability|approaches for low-compute settings, efficiency|publicly available software and pre-trained models",
3709,Resources and Evaluation,evaluation|reproducibility|statistical testing for evaluation,nlp engineering experiment|data analysis|theory,
3713,Multilingualism and Cross-Lingual NLP,multilingualism|cross-lingual transfer|multilingual evaluation,nlp engineering experiment|approaches for low-resource settings,
3721,Speech and Multimodality,multimodality,nlp engineering experiment,
3724,Machine Learning for NLP,generalization|human-in-the-loop / active learning,nlp engineering experiment,
3725,Machine Learning for NLP,knowledge-augmented methods|multi-task learning|few-shot learning,"nlp engineering experiment|model analysis & interpretability|approaches for low-compute settings, efficiency|approaches for low-resource settings",
3729,Interpretability and Analysis of Models for NLP,adversarial attacks/examples/training,model analysis & interpretability,
3730,Theme Track: Reality Check,right for the wrong reasons|(non-)generalizability|evaluation,model analysis & interpretability|data resources|data analysis|reproduction study,
3733,Question Answering,knowledge base qa|multihop qa,nlp engineering experiment,
3734,Theme Track: Reality Check,evaluation,data analysis|reproduction study|surveys,
3736,"Syntax: Tagging, Chunking, and Parsing","parsing algorighms (symbolic, theoritical results)",theory,
3738,"Language Grounding to Vision, Robotics, and Beyond",cross-modal matchine translation,nlp engineering experiment,
3750,Information Extraction,named entity recognition and relation extraction|document-level extraction,nlp engineering experiment,
3752,Large Language Models,prompting,nlp engineering experiment,
3754,Semantics: Lexical,lexical relationships,position papers,
3755,Information Retrieval and Text Mining,document representation,nlp engineering experiment,
3757,Machine Learning for NLP,generalization,approaches for low-resource settings|publicly available software and pre-trained models,
3758,Theme Track: Reality Check,evaluation,position papers,
3759,NLP Applications,security/privacy,nlp engineering experiment,
3760,Interpretability and Analysis of Models for NLP,probing|robustness,model analysis & interpretability,
3763,Discourse and Pragmatics,conversation|communication,data resources|data analysis,
